Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Jonas Valančiūnas,C,30,NOP,79,79,1968,446,816,38,109,408,707,185,224,225,579,804,140,20,52,159,245
Christian Wood,C,27,DAL,67,17,1738,396,769,105,279,291,490,217,281,87,404,491,121,30,72,121,169
Myles Turner,C,26,IND,62,62,1825,402,733,93,249,309,484,216,276,88,378,466,89,36,140,103,215
Brandon Ingram,SF,25,NOP,45,45,1538,404,835,64,164,340,671,240,272,23,223,246,262,32,19,148,116
Aaron Gordon,PF,27,DEN,68,68,2055,429,761,60,173,369,588,191,314,164,282,446,203,54,51,98,129
Alperen Şengün,C,20,HOU,75,72,2171,442,799,19,57,423,742,206,288,242,436,678,291,70,70,193,258
Tobias Harris,SF,30,PHI,74,74,2436,423,845,126,324,297,521,113,129,67,357,424,186,68,40,89,149
Michael Porter Jr.,SF,24,DEN,62,62,1798,398,817,188,454,210,363,96,120,64,277,341,65,37,29,68,119
Saddiq Bey,SF,23,TOT,77,37,2129,353,836,151,418,202,418,205,238,98,264,362,118,70,13,71,123
Jalen Williams,SG,21,OKC,75,62,2276,414,794,73,205,341,589,155,191,84,253,337,248,103,35,123,191
Dillon Brooks,SF,27,MEM,73,73,2214,392,991,143,439,249,552,120,154,45,199,244,189,65,16,104,240
Malik Monk,SG,24,SAC,77,0,1719,357,796,143,398,214,398,184,207,32,171,203,298,49,20,146,125
Kenyon Martin Jr.,SF,22,HOU,82,49,2292,410,720,68,216,342,504,151,222,126,326,452,123,41,30,91,147
De'Andre Hunter,SF,25,ATL,67,67,2126,379,822,100,286,279,536,171,207,46,238,284,94,35,17,82,199
Malik Beasley,SG,26,TOT,81,27,2093,370,937,235,658,135,279,50,65,35,248,283,124,65,9,90,107
Tim Hardaway Jr.,SF,30,DAL,71,45,2152,340,847,212,550,128,297,127,165,21,230,251,129,49,12,60,120
Norman Powell,SG,29,LAC,60,8,1567,340,710,114,287,226,423,225,277,24,151,175,109,50,18,101,125
Derrick White,SG,28,BOS,82,70,2319,350,758,149,391,201,367,168,192,52,241,293,321,54,76,95,177
Luguentz Dort,SF,23,OKC,74,73,2272,339,873,135,409,204,464,200,259,128,216,344,154,75,23,92,243
Jabari Smith Jr.,PF,19,HOU,79,79,2451,364,892,120,391,244,501,162,206,122,447,569,101,43,74,104,227
Malcolm Brogdon,PG,30,BOS,67,0,1744,354,732,132,297,222,435,160,184,42,238,280,248,45,18,98,109
Bobby Portis,PF,27,MIL,70,22,1818,398,803,95,257,303,546,96,125,154,518,672,105,29,16,81,115
Keegan Murray,SF,22,SAC,80,78,2382,354,782,206,501,148,281,62,81,89,282,371,98,61,42,60,162
Kelly Oubre Jr.,SF,27,CHO,48,40,1548,353,819,108,339,245,480,158,208,65,184,249,54,68,18,64,141
Jarrett Allen,C,24,CLE,68,68,2220,403,626,1,10,402,616,162,221,221,445,666,113,54,84,93,153
Nic Claxton,C,23,BRK,76,76,2271,414,587,0,2,414,585,133,246,184,518,702,144,65,189,96,212
Jaden McDaniels,SF,22,MIN,79,79,2416,370,716,107,269,263,447,106,144,92,215,307,148,74,76,112,272
Rudy Gobert,C,30,MIN,70,70,2148,360,546,0,3,360,543,219,340,231,583,814,87,56,95,122,210
John Collins,PF,25,ATL,71,71,2130,359,707,70,240,289,467,143,178,77,385,462,85,42,73,79,220
Bruce Brown,SF,26,DEN,80,31,2280,358,741,91,254,267,487,116,153,63,265,328,268,87,51,123,190
Max Strus,SF,26,MIA,80,33,2272,324,790,197,563,127,227,78,89,49,209,258,171,42,12,70,166
