PLAYER,TEAM,GP,FGM,FGA,3PM,3PA,FTM,FTA
Nik Stauskas,BOS,8,5,14,4,10,4,6
Marko Simonovic,CHI,9,4,15,1,5,8,11
Tyler Johnson,SAS,6,6,20,5,13,0,0
Tyrone Wallace,NOP,6,7,20,2,8,1,5
Ryan Arcidiacono,NYK,10,6,12,4,9,0,0
Justin Jackson,PHX,7,5,15,3,9,2,2
RJ Nembhard Jr.,CLE,14,6,18,0,2,3,4
Aleem Ford,ORL,5,6,20,2,15,0,0
Cameron McGriff,POR,3,5,14,2,6,2,2
Cassius Winston,WAS,7,4,11,2,6,4,4
Langston Galloway,MIL,7,6,26,2,16,0,0
Petr Cornelie,DEN,13,5,15,1,8,3,4
Sekou Doumbouya,LAL,2,5,8,1,2,3,4
Gabriel Lundberg,PHX,4,5,19,3,8,0,0
Marcus Garrett,MIA,12,5,21,1,4,2,5
Myles Powell,PHI,11,5,17,1,6,2,2
Yves Pons,MEM,12,5,16,3,9,0,2
Isaac Bonga,TOR,15,3,13,1,4,5,8
Micah Potter,DET,3,5,11,0,2,2,2
Tacko Fall,CLE,11,5,12,0,0,2,7
Cheick Diallo,DET,3,3,8,0,0,5,6
Tremont Waters,WAS,3,4,14,2,9,0,0
Daniel Oturu,TOR,3,3,6,0,1,3,5
Gabe York,IND,2,2,7,1,6,3,5
Mac McClung,LAL,2,3,6,1,3,1,1
Malik Newman,CLE,1,3,5,0,1,2,2
Solomon Hill,ATL,13,3,20,2,13,0,0
Eugene Omoruyi,DAL,4,2,5,1,2,2,4
Robert Woodard II,SAS,12,2,16,1,4,2,2
Sharife Cooper,ATL,13,3,14,1,6,0,0
Craig Sword,WAS,3,3,4,0,1,0,0
Dakota Mathias,MEM,6,2,6,2,6,0,0
Norvel Pelle,UTA,3,3,5,0,0,0,0
Paris Bass,PHX,2,2,6,0,2,2,2
Trevon Scott,CLE,2,3,6,0,1,0,0
Jordan Schakel,WAS,4,1,11,1,6,2,2
Juwan Morgan,BOS,2,2,3,1,2,0,0
McKinley Wright IV,MIN,5,2,3,1,2,0,0
Miye Oni,UTA,16,2,9,1,8,0,1
Moses Wright,DAL,4,1,4,0,1,3,3
Wayne Selden,NYK,3,1,4,1,2,2,4
Xavier Sneed,UTA,9,2,10,1,8,0,0
Carlik Jones,DEN,5,1,9,0,1,2,2
Chandler Hutchison,PHX,6,1,2,0,0,2,2
Damyean Dotson,NYK,2,2,4,0,1,0,0
Darren Collison,LAL,3,2,7,0,3,0,0
Jemerrio Jones,LAL,2,2,3,0,0,0,0
Scotty Hopson,OKC,1,2,4,0,1,0,0
Shaquille Harrison,BKN,2,2,6,0,2,0,0
Deividas Sirvydis,DET,3,1,10,1,7,0,0
Emmanuel Mudiay,SAC,2,0,2,0,0,3,4
Matt Ryan,BOS,1,1,5,1,5,0,0
Rob Edwards,OKC,2,1,4,1,4,0,0
Aaron Henry,PHI,6,1,5,0,1,0,0
Ahmad Caver,IND,1,1,1,0,0,0,0
DaQuan Jeffries,MEM,3,1,2,0,1,0,0
Jaden Springer,PHI,2,1,1,0,0,0,0
Jarron Cumberland,POR,3,1,2,0,1,0,0
Jaylen Morris,SAS,3,0,6,0,2,2,4
Joe Johnson,BOS,1,1,1,0,0,0,0
Joel Ayayi,WAS,7,1,6,0,1,0,0
Shaq Buchanan,MEM,2,1,4,0,2,0,0
Tyrell Terry,MEM,2,1,1,0,0,0,0
George King,DAL,4,0,5,0,4,1,2
Scottie Lewis,CHA,2,0,0,0,0,1,2
Ade Murkey,SAC,1,0,0,0,0,0,0
Anthony Lamb,HOU,2,0,2,0,2,0,0
Arnoldas Kulboka,CHA,2,0,1,0,1,0,0
CJ Miles,BOS,1,0,0,0,0,0,0
Cat Barber,ATL,3,0,4,0,0,0,4
David Johnson,TOR,2,0,1,0,1,0,0
DeJon Jarreau,IND,1,0,0,0,0,0,0
Emanuel Terry,PHX,3,0,5,0,0,0,0
Feron Hunt,NYK,2,0,2,0,0,0,0
JaQuori McLaughlin,DAL,4,0,2,0,1,0,0
Jaime Echenique,WAS,1,0,0,0,0,0,0
Javin DeLaurier,MIL,1,0,0,0,0,0,0
Jay Huff,LAL,4,0,3,0,2,0,0
Jaysean Paige,DET,1,0,3,0,2,0,0
Jon Teske,MEM,3,0,1,0,0,0,2
Jordan Bell,CHI,1,0,0,0,0,0,0
Jordan Goodwin,WAS,2,0,3,0,1,0,0
MJ Walker,PHX,2,0,4,0,2,0,0
Matt Mooney,NYK,1,0,1,0,1,0,0
Nate Hinton,IND,2,0,1,0,0,0,0
Sam Dekker,TOR,1,0,0,0,0,0,0
Trayvon Palmer,DET,1,0,1,0,0,0,0
Tyler Hall,NYK,1,0,0,0,0,0,0
Zylan Cheatham,UTA,1,0,3,0,2,0,0
