PLAYER,GP,PTS,FGM,FGA,3PM,3PA,FTM,FTA
Josh Hart,54,807,287,569,73,213,160,211
Kyrie Irving,29,796,289,616,100,239,118,129
De'Anthony Melton,73,791,281,695,139,372,90,120
Trey Lyles,75,786,262,562,67,209,195,243
Ivica Zubac,76,785,310,495,0,0,165,227
Gordon Hayward,49,778,283,617,86,220,126,149
Coby White,61,772,279,644,136,353,78,91
Jeff Green,75,772,277,529,53,168,165,198
Danilo Gallinari,66,771,259,597,112,294,141,156
Eric Gordon,57,765,268,564,124,301,105,135
Mo Bamba,71,756,296,617,107,281,57,73
Chris Boucher,80,754,268,577,68,229,150,193
Paul George,31,754,268,636,91,257,127,148
Justin Holiday,74,749,261,662,177,482,50,62
Darius Bazley,69,745,274,649,80,269,117,170
Herbert Jones,78,742,274,576,57,169,137,163
Grayson Allen,66,733,255,569,159,389,64,74
Max Strus,68,721,249,564,181,442,42,53
Chris Duarte,55,720,268,621,94,255,90,112
Dwight Powell,82,717,269,401,13,37,166,212
Cedi Osman,66,709,247,572,128,359,87,131
De'Andre Hunter,53,709,254,575,74,195,127,166
Al Horford,69,701,266,569,89,265,80,95
Georges Niang,76,700,246,563,156,387,52,59
Bones Hyland,69,698,230,571,131,358,107,125
Kenyon Martin Jr.,79,696,279,523,60,168,78,123
Damian Lillard,29,695,222,552,92,284,159,181
Alperen Sengun,72,692,249,525,29,117,165,232
Nickeil Alexander-Walker,65,692,253,680,105,338,81,109
Malcolm Brogdon,36,687,243,543,58,186,143,167
Deni Avdija,82,685,250,579,82,259,103,136
JaVale McGee,74,680,288,458,2,9,102,146
Ayo Dosunmu,77,679,278,535,70,186,53,78
Gary Harris,61,679,240,553,116,302,83,95
Daniel Gafford,72,677,285,411,0,1,107,153
Josh Giddey,54,674,281,670,56,213,56,79
P.J. Washington,65,668,250,532,110,301,58,81
Brandon Clarke,64,666,288,447,5,22,85,130
Josh Richardson,65,666,234,534,102,246,96,108
Precious Achiuwa,73,664,265,603,56,156,78,131
Bryn Forbes,75,663,231,539,122,295,79,87
Ben McLemore,64,655,216,539,151,417,72,88
Jaxson Hayes,70,654,245,398,20,57,144,188
Jonathan Kuminga,70,652,236,460,50,149,130,190
Klay Thompson,32,652,246,573,114,296,46,51
Garrison Mathews,65,650,184,461,139,386,143,180
Obi Toppin,72,648,251,473,52,169,94,124
Bruce Brown,72,647,256,506,38,94,97,128
Jaden McDaniels,70,647,255,554,80,252,57,71
Pat Connaughton,65,645,227,496,146,370,45,54
Naz Reid,77,637,233,476,57,166,114,149
Hamidou Diallo,58,636,261,526,23,93,91,140
Corey Kispert,77,634,234,514,112,320,54,62
Jae Crowder,67,632,217,544,127,365,71,90
Tyus Jones,73,632,249,552,80,205,54,66
Terrence Ross,63,629,220,554,77,264,112,130
Cameron Payne,58,626,240,587,71,211,75,89
Tre Mann,60,625,231,588,98,272,65,82
Amir Coffey,69,619,211,466,96,254,101,117
Oshae Brissett,67,613,208,506,83,237,114,164
Mitchell Robinson,72,610,261,343,0,0,88,181
LaMarcus Aldridge,47,607,252,458,14,46,89,102
Robert Williams III,61,607,271,368,0,1,65,90
Chuma Okeke,70,605,216,575,118,371,55,65
Robert Covington,71,604,209,498,128,339,58,69
Grant Williams,77,602,205,432,106,258,86,95
Tim Hardaway Jr.,42,598,209,530,102,304,78,103
Talen Horton-Tucker,60,597,224,538,49,182,100,125
Gabe Vincent,68,591,214,513,119,323,44,54
Dillon Brooks,32,590,227,526,46,149,90,106
Isaiah Stewart,71,589,250,490,15,46,74,103
Isaac Okoro,67,588,207,431,55,157,119,155
Josh Christopher,74,587,224,500,56,189,83,113
Reggie Bullock,68,583,201,501,141,392,40,48
Andre Drummond,73,580,247,433,0,3,86,164
Doug McDermott,51,578,215,465,108,256,40,51
Landry Shamet,69,573,191,485,123,334,68,81
Cam Thomas,67,570,218,503,47,174,87,105
Royce O'Neale,77,570,203,444,119,306,45,56
Jalen Suggs,48,564,198,548,42,196,126,163
Moritz Wagner,63,564,197,396,66,201,104,129
Isaiah Hartenstein,68,563,229,366,14,30,91,132
Frank Jackson,53,560,194,483,86,279,86,104
Caleb Martin,60,551,208,410,64,155,71,93
Drew Eubanks,71,546,221,371,5,23,99,130
Cody Martin,71,544,204,423,61,159,75,107
Marvin Bagley III,48,540,225,446,23,97,67,101
Myles Turner,42,540,200,393,61,183,79,105
P.J. Tucker,71,539,207,428,80,193,45,61
Chimezie Metu,60,534,203,449,57,186,71,91
Eric Bledsoe,54,534,197,468,51,163,89,117
Hassan Whiteside,65,534,215,330,0,0,104,167
Patrick Beverley,58,533,177,436,83,242,96,133
Steven Adams,76,528,210,384,0,1,108,199
Jaylen Nowell,62,527,196,413,63,160,72,92
Raul Neto,70,526,204,441,35,120,83,108
Cory Joseph,65,521,178,400,65,157,100,113
Kyle Anderson,69,521,209,469,36,109,67,105
Torrey Craig,78,516,200,441,77,234,39,52
Otto Porter Jr.,63,515,193,416,80,216,49,61
Jarred Vanderbilt,74,512,212,361,2,14,86,131
Furkan Korkmaz,67,509,182,470,77,266,68,84
Gary Payton II,71,502,212,344,43,120,35,58
Taurean Prince,69,502,177,390,86,229,62,82
Ziaire Williams,62,501,191,424,76,242,43,55
Cam Reddish,49,497,165,408,66,184,101,112
Kevon Looney,82,491,208,364,0,1,75,125
Nicolas Batum,59,491,179,387,108,270,25,38
R.J. Hampton,64,489,175,457,64,183,75,117
Jordan Nwora,62,487,186,462,79,227,36,43
Mason Plumlee,73,477,205,320,0,2,67,171
Rui Hachimura,42,475,187,381,55,123,46,66
Duane Washington Jr.,48,473,173,427,81,215,46,61
Jalen Smith,51,470,176,350,40,122,78,102
Javonte Green,65,468,176,325,36,101,80,96
Richaun Holmes,45,468,198,300,2,5,70,90
Damion Lee,63,467,169,383,63,187,66,75
Aleksej Pokusevski,61,464,186,456,57,197,35,50
Lonzo Ball,35,455,162,383,110,260,21,28
Damian Jones,56,454,175,266,10,29,94,131
Isaiah Roby,45,454,166,323,44,99,78,116
Killian Hayes,66,453,176,459,44,167,57,74
Willy Hernangomez,50,453,170,327,4,12,109,141
Shake Milton,55,450,173,403,43,133,61,73
Rudy Gay,55,446,157,379,70,203,62,79
Ricky Rubio,34,445,149,411,59,174,88,103
Austin Reaves,61,444,146,318,53,167,99,118
Payton Pritchard,71,442,160,373,101,245,21,21
Nemanja Bjelica,71,433,160,342,54,149,59,81
JaMychal Green,67,432,159,327,33,124,81,93
Kemba Walker,37,431,149,370,73,199,60,71
DeMarcus Cousins,48,430,149,324,37,122,95,125
Dewayne Dedmon,67,422,164,290,19,47,75,100
Aaron Wiggins,50,416,156,337,42,138,62,85
Tre Jones,69,413,166,339,10,51,71,91
Maxi Kleber,59,411,141,354,83,255,46,65
Ish Smith,65,410,185,430,25,67,15,24
Jeremy Lamb,56,410,133,347,55,170,89,106
Nassir Little,42,410,145,315,51,154,69,94
Nic Claxton,47,410,178,264,0,0,54,93
Austin Rivers,67,403,146,350,79,231,32,44
Aaron Holiday,63,400,151,338,39,103,59,68
Avery Bradley,62,394,148,350,82,210,16,18
Onyeka Okongwu,48,392,156,226,0,0,80,110
Daniel Theis,47,384,151,291,33,107,49,72
Lance Stephenson,46,384,147,323,27,90,63,80
Lamar Stevens,63,383,156,319,18,65,53,75
Donte DiVincenzo,42,380,118,336,74,218,70,83
Matisse Thybulle,66,379,150,300,45,144,34,43
Dwight Howard,60,372,134,219,8,15,96,146
Danny Green,62,366,126,320,103,271,11,14
Jeremiah Robinson-Earl,49,366,134,324,58,165,40,54
Kelly Olynyk,40,365,128,286,40,119,69,89
Serge Ibaka,54,365,148,296,37,99,32,44
Trendon Watford,48,364,142,267,9,38,71,94
Kenrich Williams,49,363,146,317,41,121,30,55
Theo Maledon,51,361,119,317,44,150,79,100
Blake Griffin,56,359,133,313,38,145,55,76
Lou Williams,56,354,125,320,37,102,67,78
Goga Bitadze,50,349,131,252,23,80,64,94
John Konchar,72,349,135,262,52,126,27,49
Draymond Green,46,346,135,257,16,54,60,91
