Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
CeeDee Lamb*+,DAL,24,WR,17,17,181,135,74.6%,1749,13.0,12,80,63.5,92,9.7,7.9,102.9,3
Tyreek Hill*+,MIA,29,WR,16,16,171,119,69.6%,1799,15.1,13,83,57.9,78,10.5,7.4,112.4,1
Amon-Ra St. Brown+,DET,24,WR,16,16,164,119,72.6%,1515,12.7,10,75,61.6,70,9.2,7.4,94.7,1
Evan Engram,JAX,29,TE,17,15,143,114,79.7%,963,8.4,4,47,53.1,34,6.7,6.7,56.6,3
Michael Pittman Jr.,IND,26,WR,16,15,156,109,69.9%,1152,10.6,4,53,51.9,75,7.4,6.8,72.0,2
Keenan Allen*,LAC,31,WR,13,13,150,108,72.0%,1243,11.5,7,57,58.7,42,8.3,8.3,95.6,2
Stefon Diggs,BUF,30,WR,17,17,160,107,66.9%,1183,11.1,8,58,55.0,55,7.4,6.3,69.6,2
A.J. Brown*,PHI,26,WR,17,17,158,106,67.1%,1456,13.7,7,70,56.3,59,9.2,6.2,85.6,2
Puka Nacua*,LAR,22,WR,17,17,160,105,65.6%,1486,14.2,6,68,56.9,80,9.3,6.2,87.4,1
Davante Adams,LVR,31,WR,17,17,175,103,58.9%,1144,11.1,8,59,48.6,46,6.5,6.1,67.3,0
Adam Thielen,CAR,33,WR,17,17,137,103,75.2%,1014,9.8,4,56,58.4,32,7.4,6.1,59.6,2
Ja'Marr Chase*,CIN,23,WR,16,16,145,100,69.0%,1216,12.2,7,63,56.6,76,8.4,6.3,76.0,1
D.J. Moore,CHI,26,WR,17,17,136,96,70.6%,1364,14.2,8,64,59.6,58,10.0,5.6,80.2,1
T.J. Hockenson,MIN,26,TE,15,11,127,95,74.8%,960,10.1,5,48,53.5,29,7.6,6.3,64.0,1
Garrett Wilson,NYJ,23,WR,17,17,168,95,56.5%,1042,11.0,3,47,44.0,68,6.2,5.6,61.3,2
Travis Kelce*,KAN,34,TE,15,15,121,93,76.9%,984,10.6,5,51,62.0,53,8.1,6.2,65.6,1
Chris Olave,NOR,23,WR,16,11,138,87,63.0%,1123,12.9,5,57,53.6,51,8.1,5.4,70.2,0
Sam LaPorta*,DET,22,TE,17,14,120,86,71.7%,889,10.3,10,48,55.8,48,7.4,5.1,52.3,0
Chris Godwin,TAM,27,WR,17,17,130,83,63.8%,1024,12.3,2,53,50.0,47,7.9,4.9,60.2,0
Trey McBride,ARI,24,TE,17,12,106,81,76.4%,825,10.2,3,42,57.5,38,7.8,4.8,48.5,1
David Njoku*,CLE,27,TE,16,16,123,81,65.9%,882,10.9,6,35,43.9,43,7.2,5.1,55.1,2
DeVonta Smith,PHI,25,WR,16,16,112,81,72.3%,1066,13.2,7,47,55.4,63,9.5,5.1,66.6,1
Nico Collins,HOU,24,WR,15,10,109,80,73.4%,1297,16.2,8,53,61.5,75,11.9,5.3,86.5,1
Mike Evans*,TAM,30,WR,17,17,136,79,58.1%,1255,15.9,13,54,53.7,75,9.2,4.6,73.8,0
Tyler Lockett,SEA,31,WR,17,17,122,79,64.8%,894,11.3,5,47,58.2,37,7.3,4.6,52.6,0
Terry McLaurin,WAS,28,WR,17,17,132,79,59.8%,1002,12.7,4,47,49.2,48,7.6,4.6,58.9,0
Rashee Rice,KAN,23,WR,16,8,102,79,77.5%,938,11.9,7,44,61.8,67,9.2,4.9,58.6,2
Zay Flowers,BAL,23,WR,16,16,108,77,71.3%,858,11.1,5,41,55.6,75,7.9,4.8,53.6,0
Breece Hall,NYJ,22,RB,17,16,95,76,80.0%,591,7.8,4,28,40.0,50,6.2,4.5,34.8,2
Calvin Ridley,JAX,29,WR,17,17,136,76,55.9%,1016,13.4,8,49,48.5,59,7.5,4.5,59.8,1
Brandon Aiyuk,SFO,25,WR,16,16,105,75,71.4%,1342,17.9,7,61,70.5,76,12.8,4.7,83.9,1
DeAndre Hopkins,TEN,31,WR,17,16,137,75,54.7%,1057,14.1,7,48,43.8,61,7.7,4.4,62.2,0
Alvin Kamara,NOR,28,RB,13,12,86,75,87.2%,466,6.2,1,23,45.3,25,5.4,5.8,35.8,0
Dalton Kincaid,BUF,24,TE,16,11,91,73,80.2%,673,9.2,2,29,61.5,51,7.4,4.6,42.1,1
Cole Kmet,CHI,24,TE,17,17,90,73,81.1%,719,9.8,6,36,62.2,53,8.0,4.3,42.3,1
Amari Cooper*,CLE,29,WR,15,15,128,72,56.3%,1250,17.4,5,50,53.1,75,9.8,4.8,83.3,2
Jaylen Waddle,MIA,25,WR,14,14,104,72,69.2%,1014,14.1,4,47,58.7,60,9.8,5.1,72.4,0
Jake Ferguson,DAL,24,TE,17,16,102,71,69.6%,761,10.7,5,40,55.9,40,7.5,4.2,44.8,0
Jakobi Meyers,LVR,27,WR,16,16,106,71,67.0%,807,11.4,8,46,54.7,33,7.6,4.4,50.4,0
Jordan Addison,MIN,21,WR,17,14,108,70,64.8%,911,13.0,10,38,50.0,62,8.4,4.1,53.6,0
Drake London,ATL,22,WR,16,16,110,69,62.7%,905,13.1,2,45,52.7,45,8.2,4.3,56.6,0
Josh Downs,IND,22,WR,17,9,98,68,69.4%,771,11.3,2,30,50.0,59,7.9,4.0,45.4,0
Justin Jefferson,MIN,24,WR,10,9,100,68,68.0%,1074,15.8,5,51,61.0,52,10.7,6.8,107.4,1
Tyler Boyd,CIN,29,WR,17,13,98,67,68.4%,667,10.0,2,28,46.9,64,6.8,3.9,39.2,0
Christian McCaffrey*+,SFO,27,RB,16,16,83,67,80.7%,564,8.4,7,31,55.4,41,6.8,4.2,35.3,3
D.K. Metcalf,SEA,26,WR,16,16,119,66,55.5%,1114,16.9,8,52,51.3,73,9.4,4.1,69.6,0
George Kittle*+,SFO,30,TE,16,16,90,65,72.2%,1020,15.7,6,42,60.0,66,11.3,4.1,63.8,0
Jayden Reed,GNB,23,WR,16,13,94,64,68.1%,793,12.4,8,32,51.1,59,8.4,4.0,49.6,2
Rachaad White,TAM,24,RB,17,17,70,64,91.4%,549,8.6,3,23,54.3,43,7.8,3.8,32.3,3
George Pickens,PIT,22,WR,17,16,106,63,59.4%,1140,18.1,5,42,50.9,86,10.8,3.7,67.1,3
Jaxon Smith-Njigba,SEA,21,WR,17,3,93,63,67.7%,628,10.0,4,29,47.3,35,6.8,3.7,36.9,0
Curtis Samuel,WAS,27,WR,16,13,91,62,68.1%,613,9.9,4,26,50.5,37,6.7,3.9,38.3,0
Tyler Conklin,NYJ,28,TE,17,12,87,61,70.1%,621,10.2,0,27,44.8,37,7.1,3.6,36.5,0
Jaylen Warren,PIT,25,RB,17,0,74,61,82.4%,370,6.1,0,19,44.6,30,5.0,3.6,21.8,4
Wan'Dale Robinson,NYG,22,WR,15,8,78,60,76.9%,525,8.8,1,29,53.8,33,6.7,4.0,35.0,0
Deebo Samuel,SFO,27,WR,15,15,89,60,67.4%,892,14.9,7,34,56.2,54,10.0,4.0,59.5,1
Romeo Doubs,GNB,23,WR,17,16,96,59,61.5%,674,11.4,8,41,51.0,36,7.0,3.5,39.6,1
Dallas Goedert,PHI,28,TE,14,14,83,59,71.1%,592,10.0,3,33,60.2,49,7.1,4.2,42.3,0
Cooper Kupp,LAR,30,WR,12,12,95,59,62.1%,737,12.5,5,33,49.5,62,7.8,4.9,61.4,0
Elijah Moore,CLE,23,WR,17,12,104,59,56.7%,640,10.8,2,29,42.3,42,6.2,3.5,37.6,2
Dalton Schultz,HOU,27,TE,15,8,88,59,67.0%,635,10.8,5,35,52.3,31,7.2,3.9,42.3,1
Courtland Sutton,DEN,28,WR,16,14,90,59,65.6%,772,13.1,10,37,54.4,46,8.6,3.7,48.3,3
Travis Etienne,JAX,24,RB,17,17,73,58,79.5%,476,8.2,1,23,49.3,56,6.5,3.4,28.0,0
Bijan Robinson,ATL,21,RB,17,16,86,58,67.4%,487,8.4,4,24,45.3,71,5.7,3.4,28.6,4
Christian Kirk,JAX,27,WR,12,12,85,57,67.1%,787,13.8,3,34,57.6,57,9.3,4.8,65.6,2
Tony Pollard,DAL,26,RB,17,17,67,55,82.1%,311,5.7,0,12,43.3,60,4.6,3.2,18.3,3
Logan Thomas,WAS,32,TE,16,15,78,55,70.5%,496,9.0,4,21,56.4,29,6.4,3.4,31.0,2
Brandin Cooks,DAL,30,WR,16,15,81,54,66.7%,657,12.2,8,38,59.3,37,8.1,3.4,41.1,1
Jerry Jeudy,DEN,24,WR,16,11,87,54,62.1%,758,14.0,2,28,46.0,47,8.7,3.4,47.4,1
Chigoziem Okonkwo,TEN,24,TE,17,11,77,54,70.1%,528,9.8,1,25,48.1,39,6.9,3.2,31.1,0
Kyle Pitts,ATL,23,TE,17,15,90,53,58.9%,667,12.6,3,35,52.2,39,7.4,3.1,39.2,0
Jahmyr Gibbs,DET,21,RB,15,3,71,52,73.2%,316,6.1,1,20,46.5,24,4.5,3.5,21.1,2
Joe Mixon,CIN,27,RB,17,17,64,52,81.3%,376,7.2,3,14,54.7,45,5.9,3.1,22.1,0
Tyjae Spears,TEN,22,RB,17,1,70,52,74.3%,385,7.4,1,17,34.3,48,5.5,3.1,22.6,1
Darren Waller,NYG,31,TE,12,11,74,52,70.3%,552,10.6,1,25,56.8,29,7.5,4.3,46.0,0
Marquise Brown,ARI,26,WR,14,14,101,51,50.5%,574,11.3,4,32,42.6,41,5.7,3.6,41.0,0
Austin Ekeler,LAC,28,RB,14,14,74,51,68.9%,436,8.5,1,20,43.2,39,5.9,3.6,31.1,5
Ezekiel Elliott,NWE,28,RB,17,5,65,51,78.5%,313,6.1,2,12,40.0,23,4.8,3.0,18.4,2
Gerald Everett,LAC,29,TE,15,12,70,51,72.9%,411,8.1,3,25,50.0,31,5.9,3.4,27.4,3
Diontae Johnson,PIT,27,WR,13,11,87,51,58.6%,717,14.1,5,37,52.9,71,8.2,3.9,55.2,1
Samaje Perine,DEN,28,RB,17,1,56,50,89.3%,455,9.1,0,23,67.9,29,8.1,2.9,26.8,3
Darius Slayton,NYG,26,WR,17,13,79,50,63.3%,770,15.4,4,29,49.4,80,9.7,2.9,45.3,0
Jonnu Smith,ATL,28,TE,17,6,70,50,71.4%,582,11.6,3,26,51.4,60,8.3,2.9,34.2,1
Jahan Dotson,WAS,23,WR,17,16,83,49,59.0%,518,10.6,4,27,48.2,33,6.2,2.9,30.5,0
Demario Douglas,NWE,23,WR,14,7,78,49,62.8%,561,11.4,0,26,46.2,42,7.2,3.5,40.1,3
Antonio Gibson,WAS,25,RB,16,2,59,48,81.4%,389,8.1,2,19,44.1,41,6.6,3.0,24.3,4
K.J. Osborn,MIN,26,WR,16,12,75,48,64.0%,540,11.3,3,28,45.3,47,7.2,3.0,33.8,1
Tank Dell,HOU,24,WR,11,8,75,47,62.7%,709,15.1,7,34,54.7,68,9.5,4.3,64.5,1
Tyler Higbee,LAR,30,TE,15,15,70,47,67.1%,495,10.5,2,26,57.1,33,7.1,3.1,33.0,0
Cade Otton,TAM,24,TE,17,17,67,47,70.1%,455,9.7,4,22,49.3,27,6.8,2.8,26.8,1
Javonte Williams,DEN,23,RB,16,13,58,47,81.0%,228,4.9,2,10,48.3,18,3.9,2.9,14.3,1
Rashid Shaheed*+,NOR,25,WR,15,8,75,46,61.3%,719,15.6,5,27,46.7,58,9.6,3.1,47.9,1
Mark Andrews,BAL,28,TE,10,9,61,45,73.8%,544,12.1,6,27,62.3,38,8.9,4.5,54.4,1
Gabriel Davis,BUF,24,WR,17,17,81,45,55.6%,746,16.6,7,34,53.1,57,9.2,2.6,43.9,1
James Cook*,BUF,24,RB,17,13,54,44,81.5%,445,10.1,4,16,59.3,48,8.2,2.6,26.2,4
Jerome Ford,CLE,24,RB,17,12,63,44,69.8%,319,7.3,5,16,41.3,50,5.1,2.6,18.8,1
Isiah Pacheco,KAN,24,RB,14,13,49,44,89.8%,244,5.5,2,12,44.9,33,5.0,3.1,17.4,1
Jonathan Mingo,CAR,22,WR,15,14,85,43,50.6%,418,9.7,0,15,32.9,40,4.9,2.9,27.9,1
Hunter Henry,NWE,29,TE,14,10,61,42,68.9%,419,10.0,6,29,63.9,24,6.9,3.0,29.9,1
Tee Higgins,CIN,24,WR,12,11,76,42,55.3%,656,15.6,5,33,53.9,80,8.6,3.5,54.7,0
Saquon Barkley,NYG,26,RB,14,14,60,41,68.3%,280,6.8,4,16,43.3,46,4.7,2.9,20.0,2
Rondale Moore,ARI,23,WR,17,8,62,40,64.5%,352,8.8,1,17,38.7,48,5.7,2.4,20.7,1
Josh Reynolds,DET,28,WR,17,13,64,40,62.5%,608,15.2,5,32,56.3,33,9.5,2.4,35.8,1
Robert Woods,HOU,31,WR,14,11,75,40,53.3%,426,10.7,1,26,45.3,26,5.7,2.9,30.4,0
Tutu Atwell,LAR,24,WR,16,14,67,39,58.2%,483,12.4,3,26,47.8,44,7.2,2.4,30.2,0
Chuba Hubbard,CAR,24,RB,17,12,44,39,88.6%,233,6.0,0,9,36.4,25,5.3,2.3,13.7,1
Tanner Hudson,CIN,29,TE,12,1,50,39,78.0%,352,9.0,1,21,58.0,26,7.0,3.3,29.3,0
Trey Palmer,TAM,22,WR,17,8,68,39,57.4%,385,9.9,3,17,41.2,54,5.7,2.3,22.6,3
Khalil Shakir,BUF,23,WR,17,10,45,39,86.7%,611,15.7,2,26,73.3,81,13.6,2.3,35.9,1
D'Andre Swift*,PHI,24,RB,16,15,49,39,79.6%,214,5.5,1,8,42.9,20,4.4,2.4,13.4,3
Michael Thomas,NOR,30,WR,10,7,64,39,60.9%,448,11.5,1,21,54.7,31,7.0,3.9,44.8,0
Dontayvion Wicks,GNB,22,WR,15,6,58,39,67.2%,581,14.9,4,29,62.1,35,10.0,2.6,38.7,3
Quentin Johnston,LAC,22,WR,17,10,67,38,56.7%,431,11.3,2,20,47.8,57,6.4,2.2,25.4,0
Josh Palmer,LAC,24,WR,10,6,61,38,62.3%,581,15.3,2,22,47.5,79,9.5,3.8,58.1,1
Rhamondre Stevenson,NWE,25,RB,12,12,51,38,74.5%,238,6.3,0,8,35.3,34,4.7,3.2,19.8,1
Michael Wilson,ARI,23,WR,13,12,58,38,65.5%,565,14.9,3,29,56.9,69,9.7,2.9,43.5,0
Kendrick Bourne,NWE,28,WR,8,5,55,37,67.3%,406,11.0,4,15,49.1,36,7.4,4.6,50.8,1
Josh Jacobs,LVR,25,RB,13,13,54,37,68.5%,296,8.0,0,15,55.6,21,5.5,2.8,22.8,3
Juwan Johnson,NOR,27,TE,13,11,59,37,62.7%,368,9.9,4,23,50.8,32,6.2,2.8,28.3,0
Brian Robinson Jr.,WAS,24,RB,15,15,43,36,83.7%,368,10.2,4,15,53.5,51,8.6,2.4,24.5,4
Nelson Agholor,BAL,30,WR,17,3,45,35,77.8%,381,10.9,4,19,55.6,37,8.5,2.1,22.4,1
Odell Beckham Jr.,BAL,31,WR,14,6,64,35,54.7%,565,16.1,3,27,50.0,51,8.8,2.5,40.4,1
DJ Chark,CAR,27,WR,15,11,66,35,53.0%,525,15.0,5,22,43.9,47,8.0,2.3,35.0,2
Kalif Raymond,DET,29,WR,17,3,44,35,79.5%,489,14.0,1,20,65.9,41,11.1,2.1,28.8,1
Durham Smythe,MIA,28,TE,16,14,43,35,81.4%,366,10.5,0,22,72.1,22,8.5,2.2,22.9,0
Michael Gallup,DAL,27,WR,17,13,57,34,59.6%,418,12.3,2,19,50.9,41,7.3,2.0,24.6,0
Roschon Johnson,CHI,22,RB,15,0,40,34,85.0%,209,6.1,0,6,27.5,24,5.2,2.3,13.9,1
Zay Jones,JAX,28,WR,9,7,64,34,53.1%,321,9.4,2,14,43.8,36,5.0,3.8,35.7,0
Luke Musgrave,GNB,23,TE,11,9,46,34,73.9%,352,10.4,1,14,50.0,37,7.7,3.1,32.0,0
Allen Robinson,PIT,30,WR,17,17,49,34,69.4%,280,8.2,0,9,44.9,31,5.7,2.0,16.5,0
Noah Brown,HOU,27,WR,10,7,55,33,60.0%,567,17.2,2,24,52.7,75,10.3,3.3,56.7,0
Zach Charbonnet,SEA,22,RB,16,2,40,33,82.5%,209,6.3,0,7,45.0,39,5.2,2.1,13.1,0
Taysom Hill,NOR,33,QB,16,7,40,33,82.5%,291,8.8,2,11,57.5,36,7.3,2.1,18.2,1
DeVante Parker,NWE,30,WR,13,13,55,33,60.0%,394,11.9,0,17,49.1,30,7.2,2.5,30.3,0
Rashod Bateman,BAL,24,WR,16,12,56,32,57.1%,367,11.5,1,20,50.0,29,6.6,2.0,22.9,0
Noah Fant,SEA,26,TE,17,17,43,32,74.4%,414,12.9,0,16,60.5,51,9.6,1.9,24.4,0
Pat Freiermuth,PIT,25,TE,12,9,47,32,68.1%,308,9.6,2,17,48.9,29,6.6,2.7,25.7,0
Alec Pierce,IND,23,WR,17,16,65,32,49.2%,514,16.1,2,24,46.2,58,7.9,1.9,30.2,0
Kyren Williams*,LAR,23,RB,12,11,48,32,66.7%,206,6.4,3,9,43.8,24,4.3,2.7,17.2,3
Tucker Kraft,GNB,23,TE,17,8,40,31,77.5%,355,11.5,2,18,67.5,43,8.9,1.8,20.9,0
Jaleel McLaughlin,DEN,23,RB,17,3,36,31,86.1%,160,5.2,2,5,38.9,22,4.4,1.8,9.4,0
Darnell Mooney,CHI,26,WR,15,14,61,31,50.8%,414,13.4,1,20,41.0,41,6.8,2.1,27.6,0
Kenneth Gainwell,PHI,24,RB,16,2,37,30,81.1%,183,6.1,0,11,48.6,19,4.9,1.9,11.4,3
Kylen Granson,IND,25,TE,15,7,50,30,60.0%,368,12.3,1,19,46.0,46,7.4,2.0,24.5,0
Aaron Jones,GNB,29,RB,11,11,43,30,69.8%,233,7.8,1,13,39.5,51,5.4,2.7,21.2,2
Isaiah Likely,BAL,23,TE,17,8,40,30,75.0%,411,13.7,5,15,60.0,54,10.3,1.8,24.2,0
Alexander Mattison,MIN,25,RB,16,13,44,30,68.2%,192,6.4,3,5,34.1,47,4.4,1.9,12.0,3
Devin Singletary,HOU,26,RB,17,10,38,30,78.9%,193,6.4,0,7,36.8,41,5.1,1.8,11.4,1
Mike Gesicki,NWE,28,TE,17,10,45,29,64.4%,244,8.4,2,11,44.4,18,5.4,1.7,14.4,0
Najee Harris,PIT,25,RB,17,17,38,29,76.3%,170,5.9,0,9,50.0,32,4.5,1.7,10.0,2
Brandon Powell,MIN,28,WR,17,2,44,29,65.9%,324,11.2,1,18,50.0,28,7.4,1.7,19.1,1
JuJu Smith-Schuster,NWE,27,WR,11,7,47,29,61.7%,260,9.0,1,13,42.6,37,5.5,2.6,23.6,0
Kenneth Walker III,SEA,23,RB,15,15,37,29,78.4%,259,8.9,1,9,43.2,64,7.0,1.9,17.3,1
Noah Gray,KAN,24,TE,17,10,41,28,68.3%,305,10.9,2,15,53.7,34,7.4,1.6,17.9,0
Derrick Henry*,TEN,29,RB,17,17,36,28,77.8%,214,7.6,0,7,44.4,46,5.9,1.6,12.6,0
Justice Hill,BAL,26,RB,16,5,39,28,71.8%,206,7.4,1,8,30.8,24,5.3,1.8,12.9,1
Christian Watson,GNB,24,WR,9,9,53,28,52.8%,422,15.1,5,20,50.9,77,8.0,3.1,46.9,0
Nick Westbrook-Ikhine,TEN,26,WR,14,9,45,28,62.2%,370,13.2,3,18,57.8,33,8.2,2.0,26.4,0
De'Von Achane,MIA,22,RB,11,4,37,27,73.0%,197,7.3,3,10,48.6,23,5.3,2.5,17.9,1
Braxton Berrios,MIA,28,WR,16,1,33,27,81.8%,238,8.8,1,15,57.6,22,7.2,1.7,14.9,1
James Conner,ARI,28,RB,13,13,33,27,81.8%,165,6.1,2,11,39.4,34,5.0,2.1,12.7,0
Zach Ertz,ARI,33,TE,7,7,43,27,62.8%,187,6.9,1,8,41.9,17,4.3,3.9,26.7,0
Michael Mayer,LVR,22,TE,14,12,40,27,67.5%,304,11.3,2,19,60.0,32,7.6,1.9,21.7,0
Zack Moss,IND,26,RB,14,8,37,27,73.0%,192,7.1,2,10,35.1,26,5.2,1.9,13.7,0
Donald Parham,LAC,26,TE,14,8,41,27,65.9%,285,10.6,4,22,61.0,24,7.0,1.9,20.4,0
Miles Sanders,CAR,26,RB,16,5,41,27,65.9%,154,5.7,0,8,39.0,14,3.8,1.7,9.6,2
Kadarius Toney,KAN,24,WR,13,2,38,27,71.1%,169,6.3,1,12,44.7,18,4.4,2.1,13.0,1
Justin Watson,KAN,27,WR,16,8,53,27,50.9%,460,17.0,3,21,50.9,41,8.7,1.7,28.8,1
Demarcus Robinson,LAR,29,WR,16,4,39,26,66.7%,371,14.3,4,20,59.0,37,9.5,1.6,23.2,2
Daniel Bellinger,NYG,23,TE,17,13,28,25,89.3%,255,10.2,0,6,39.3,26,9.1,1.5,15.0,0
Austin Hooper,LVR,29,TE,17,9,31,25,80.6%,234,9.4,0,12,61.3,21,7.5,1.5,13.8,0
Trenton Irwin,CIN,28,WR,16,5,32,25,78.1%,316,12.6,1,15,59.4,32,9.9,1.6,19.8,2
Jerick McKinnon,KAN,31,RB,12,0,32,25,78.1%,192,7.7,4,10,43.8,27,6.0,2.1,16.0,0
Raheem Mostert*,MIA,31,RB,15,15,32,25,78.1%,175,7.0,3,6,40.6,22,5.5,1.7,11.7,4
Colby Parkinson,SEA,24,TE,17,1,34,25,73.5%,247,9.9,2,11,52.9,27,7.3,1.5,14.5,0
Hunter Renfrow,LVR,28,WR,17,3,37,25,67.6%,255,10.2,0,11,40.5,38,6.9,1.5,15.0,1
Michael Carter,2TM,24,,15,0,31,24,77.4%,101,4.2,1,5,32.3,10,3.3,1.6,6.7,0
Greg Dortch,ARI,25,WR,16,4,41,24,58.5%,280,11.7,2,14,48.8,38,6.8,1.5,17.5,0
Jameson Williams,DET,22,WR,12,10,42,24,57.1%,354,14.8,2,14,47.6,63,8.4,2.0,29.5,1
Connor Heyward,PIT,24,TE,17,7,34,23,67.6%,167,7.3,0,8,47.1,13,4.9,1.4,9.8,0
Jalin Hyatt,NYG,22,WR,17,7,40,23,57.5%,373,16.2,0,11,47.5,58,9.3,1.4,21.9,1
Allen Lazard,NYJ,28,WR,14,12,49,23,46.9%,311,13.5,1,17,40.8,39,6.3,1.6,22.2,0
Tommy Tremble,CAR,23,TE,16,8,32,23,71.9%,194,8.4,3,10,50.0,30,6.1,1.4,12.1,0
AJ Dillon,GNB,25,RB,15,6,28,22,78.6%,223,10.1,0,10,57.1,35,8.0,1.5,14.9,0
Dawson Knox,BUF,27,TE,12,11,36,22,61.1%,186,8.5,2,13,50.0,17,5.2,1.8,15.5,0
Marvin Mims*,DEN,21,WR,16,7,33,22,66.7%,377,17.1,1,9,48.5,60,11.4,1.4,23.6,2
Chris Moore,TEN,30,WR,17,5,35,22,62.9%,424,19.3,0,16,54.3,49,12.1,1.3,24.9,1
Josh Oliver,MIN,26,TE,17,14,28,22,78.6%,213,9.7,2,12,53.6,33,7.6,1.3,12.5,1
Drew Sample,CIN,27,TE,17,10,27,22,81.5%,163,7.4,2,9,44.4,22,6.0,1.3,9.6,0
Jalen Tolbert,DAL,24,WR,17,6,36,22,61.1%,268,12.2,2,13,55.6,45,7.4,1.3,15.8,1
Adam Trautman,DEN,26,TE,17,12,35,22,62.9%,204,9.3,3,10,51.4,24,5.8,1.3,12.0,0
Cedrick Wilson Jr.,MIA,28,WR,15,3,38,22,57.9%,296,13.5,3,14,47.4,31,7.8,1.5,19.7,0
Ty Chandler,MIN,25,RB,17,4,25,21,84.0%,159,7.6,0,7,48.0,19,6.4,1.2,9.4,0
Emari Demercado,ARI,24,RB,14,2,30,21,70.0%,119,5.7,0,4,30.0,22,4.0,1.5,8.5,0
Xavier Gipson,NYJ,22,WR,17,3,38,21,55.3%,229,10.9,0,9,34.2,36,6.0,1.2,13.5,5
Isaiah Hodgins,NYG,25,WR,17,9,33,21,63.6%,230,11.0,3,12,63.6,24,7.0,1.2,13.5,1
Skyy Moore,KAN,23,WR,14,8,38,21,55.3%,244,11.6,1,13,44.7,54,6.4,1.5,17.4,0
Foster Moreau,NOR,26,TE,15,10,25,21,84.0%,193,9.2,1,9,60.0,23,7.7,1.4,12.9,0
Cedric Tillman,CLE,23,WR,14,3,44,21,47.7%,224,10.7,0,12,40.9,23,5.1,1.5,16.0,0
Marquez Valdes-Scantling,KAN,29,WR,16,10,42,21,50.0%,315,15.0,1,14,40.5,46,7.5,1.3,19.7,1
Parris Campbell,NYG,26,WR,12,3,27,20,74.1%,104,5.2,0,2,37.0,17,3.9,1.7,8.7,0
Khalil Herbert,CHI,25,RB,12,9,31,20,64.5%,134,6.7,1,9,41.9,23,4.3,1.7,11.2,1
Van Jefferson,2TM,27,,17,9,43,20,46.5%,209,10.5,0,10,37.2,46,4.9,1.2,12.3,0
Ameer Abdullah,LVR,30,RB,17,0,24,19,79.2%,131,6.9,0,4,33.3,18,5.5,1.1,7.7,0
John Bates,WAS,26,TE,17,4,28,19,67.9%,151,7.9,0,6,50.0,35,5.4,1.1,8.9,0
Jake Bobo,SEA,25,WR,17,0,25,19,76.0%,196,10.3,2,9,60.0,31,7.8,1.1,11.5,0
Jauan Jennings,SFO,26,WR,13,2,33,19,57.6%,265,13.9,1,12,48.5,31,8.0,1.5,20.4,0
Brandon Johnson,DEN,25,WR,13,2,30,19,63.3%,284,14.9,4,12,60.0,50,9.5,1.5,21.8,0
Terrace Marshall Jr.,CAR,23,WR,9,4,33,19,57.6%,139,7.3,0,8,45.5,14,4.2,2.1,15.4,1
Jonathan Taylor,IND,24,RB,10,7,23,19,82.6%,153,8.1,1,5,43.5,40,6.7,1.9,15.3,1
Tre Tucker,LVR,22,WR,16,1,34,19,55.9%,331,17.4,2,12,41.2,50,9.7,1.2,20.7,0
Mike Williams,LAC,29,WR,3,3,26,19,73.1%,249,13.1,1,9,53.8,49,9.6,6.3,83.0,0
Tyler Allgeier,ATL,23,RB,17,3,23,18,78.3%,193,10.7,1,6,39.1,75,8.4,1.1,11.4,0
Mack Hollins,ATL,30,WR,13,3,30,18,60.0%,251,13.9,0,9,46.7,45,8.4,1.4,19.3,0
Hayden Hurst,CAR,30,TE,9,8,32,18,56.3%,184,10.2,1,7,46.9,48,5.8,2.0,20.4,0
Will Mallory,IND,24,TE,12,2,26,18,69.2%,207,11.5,0,11,50.0,43,8.0,1.5,17.3,1
Irv Smith Jr.,CIN,25,TE,12,6,26,18,69.2%,115,6.4,1,5,38.5,14,4.4,1.5,9.6,1
Jamaal Williams,NOR,28,RB,13,4,20,18,90.0%,62,3.4,0,1,30.0,12,3.1,1.4,4.8,1
Calvin Austin,PIT,24,WR,17,1,30,17,56.7%,180,10.6,1,7,40.0,72,6.0,1.0,10.6,2
Matt Breida,NYG,28,RB,17,4,21,17,81.0%,88,5.2,0,2,19.0,22,4.2,1.0,5.2,1
Will Dissly,SEA,27,TE,16,14,22,17,77.3%,172,10.1,1,8,59.1,21,7.8,1.1,10.8,0
Rico Dowdle,DAL,25,RB,16,0,22,17,77.3%,144,8.5,2,6,40.9,32,6.5,1.1,9.0,0
Clyde Edwards-Helaire,KAN,24,RB,15,3,22,17,77.3%,188,11.1,1,7,50.0,48,8.5,1.1,12.5,0
Brevin Jordan,HOU,23,TE,14,6,21,17,81.0%,219,12.9,2,13,81.0,27,10.4,1.2,15.6,0
Johnny Mundt,MIN,29,TE,17,0,23,17,73.9%,172,10.1,1,8,52.2,32,7.5,1.0,10.1,0
Latavius Murray,BUF,33,RB,16,4,22,17,77.3%,119,7.0,0,7,45.5,22,5.4,1.1,7.4,1
Tyler Scott,CHI,22,WR,17,4,32,17,53.1%,168,9.9,0,10,43.8,30,5.3,1.0,9.9,1
Deven Thompkins,TAM,24,WR,17,1,25,17,68.0%,83,4.9,1,5,32.0,26,3.3,1.0,4.9,3
