Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
Josh Whyle,TEN,24,TE,11,3,15,9,60.0%,94,10.4,1,8,60.0,24,6.3,0.8,8.5,0
Mitchell Wilcox,CIN,27,TE,17,4,12,9,75.0%,56,6.2,0,2,50.0,12,4.7,0.5,3.3,0
Chase Claypool,2TM,25,,12,2,21,8,38.1%,77,9.6,1,4,23.8,20,3.7,0.7,6.4,0
Josiah Deguara,GNB,26,TE,15,4,8,8,100.0%,65,8.1,0,3,75.0,19,8.1,0.5,4.3,0
Xavier Hutchinson,HOU,23,WR,16,0,19,8,42.1%,90,11.3,0,3,21.1,34,4.7,0.5,5.6,0
Joshua Kelley,LAC,26,RB,17,3,12,8,66.7%,32,4.0,0,0,33.3,6,2.7,0.5,1.9,1
Lucas Krull,DEN,25,TE,7,2,14,8,57.1%,95,11.9,1,5,42.9,35,6.8,1.1,13.6,0
Luke Schoonmaker,DAL,25,TE,17,0,15,8,53.3%,65,8.1,2,5,40.0,18,4.3,0.5,3.8,0
Ben Skowronek,LAR,26,WR,17,0,12,8,66.7%,66,8.3,1,3,41.7,20,5.5,0.5,3.9,0
Ihmir Smith-Marsette,CAR,24,WR,17,0,10,8,80.0%,51,6.4,0,5,50.0,18,5.1,0.5,3.0,2
Samori Toure,GNB,25,WR,11,0,18,8,44.4%,78,9.8,0,4,27.8,35,4.3,0.7,7.1,1
C.J. Uzomah,NYJ,30,TE,12,8,12,8,66.7%,58,7.3,1,5,58.3,19,4.8,0.7,4.8,0
Israel Abanikanda,NYJ,21,RB,6,0,11,7,63.6%,43,6.1,0,2,36.4,13,3.9,1.2,7.2,1
Mike Boone,HOU,28,RB,9,0,9,7,77.8%,40,5.7,0,2,44.4,12,4.4,0.8,4.4,1
Darrynton Evans,2TM,25,,7,0,12,7,58.3%,49,7.0,0,2,33.3,17,4.1,1.0,7.0,0
C.J. Ham,MIN,30,FB,17,5,9,7,77.8%,25,3.6,0,1,33.3,7,2.8,0.4,1.5,0
Ty Johnson,BUF,26,RB,10,0,7,7,100.0%,62,8.9,1,2,71.4,28,8.9,0.7,6.2,1
Charlie Jones,CIN,25,WR,11,0,9,7,77.8%,64,9.1,0,3,44.4,35,7.1,0.6,5.8,0
Tony Jones,2TM,26,,7,1,10,7,70.0%,37,5.3,0,1,20.0,11,3.7,1.0,5.3,0
Charlie Kolar,BAL,24,TE,15,3,9,7,77.8%,87,12.4,1,5,77.8,19,9.7,0.5,5.8,0
Jalen Reagor,NWE,24,WR,11,1,24,7,29.2%,138,19.7,0,5,20.8,39,5.8,0.6,12.5,0
Deuce Vaughn,DAL,22,RB,7,0,7,7,100.0%,40,5.7,0,1,42.9,11,5.7,1.0,5.7,0
Darnell Washington,PIT,22,TE,17,7,10,7,70.0%,61,8.7,0,4,60.0,12,6.1,0.4,3.6,0
Trayveon Williams,CIN,26,RB,17,0,9,7,77.8%,10,1.4,0,0,11.1,5,1.1,0.4,0.6,0
Ronnie Bell,SFO,23,WR,17,0,13,6,46.2%,68,11.3,3,5,46.2,20,5.2,0.4,4.0,1
Raheem Blackshear,CAR,24,RB,12,0,7,6,85.7%,45,7.5,0,1,71.4,19,6.4,0.5,3.8,0
Jalen Brooks,DAL,23,WR,7,0,6,6,100.0%,64,10.7,0,4,83.3,24,10.7,0.9,9.1,0
DeeJay Dallas,SEA,25,RB,17,0,9,6,66.7%,26,4.3,0,1,11.1,14,2.9,0.4,1.5,2
Keelan Doss,LAC,27,WR,5,0,13,6,46.2%,33,5.5,0,1,23.1,9,2.5,1.2,6.6,0
Tyler Goodson,IND,23,RB,6,1,9,6,66.7%,34,5.7,0,1,55.6,15,3.8,1.0,5.7,0
Jimmy Graham,NOR,37,TE,13,2,7,6,85.7%,39,6.5,4,6,85.7,12,5.6,0.5,3.0,0
Eric Gray,NYG,24,RB,13,0,7,6,85.7%,22,3.7,0,0,0.0,9,3.1,0.5,1.7,3
Julian Hill,MIA,23,TE,15,4,9,6,66.7%,48,8.0,0,2,55.6,18,5.3,0.4,3.2,1
Elijah Mitchell,SFO,25,RB,11,1,8,6,75.0%,14,2.3,0,2,37.5,9,1.8,0.5,1.3,0
Justyn Ross,KAN,24,WR,10,1,11,6,54.5%,53,8.8,0,2,45.5,20,4.8,0.6,5.3,0
Isaiah Spiller,LAC,22,RB,9,0,6,6,100.0%,34,5.7,0,1,66.7,10,5.7,0.7,3.8,0
Blake Bell,KAN,32,TE,17,3,9,5,55.6%,26,5.2,1,1,44.4,8,2.9,0.3,1.5,1
Gary Brightwell,NYG,24,RB,7,0,7,5,71.4%,47,9.4,0,2,42.9,18,6.7,0.7,6.7,0
Jason Brownlee,NYJ,24,WR,7,5,8,5,62.5%,56,11.2,1,2,50.0,24,7.0,0.7,8.0,0
Randall Cobb,NYJ,33,WR,11,1,17,5,29.4%,39,7.8,1,3,17.6,15,2.3,0.5,3.5,0
Payne Durham,TAM,23,TE,13,2,7,5,71.4%,58,11.6,0,3,71.4,25,8.3,0.4,4.5,0
Brycen Hopkins,LAR,26,TE,15,0,7,5,71.4%,78,15.6,0,3,57.1,29,11.1,0.3,5.2,0
Deon Jackson,3TM,24,,4,1,6,5,83.3%,14,2.8,0,0,33.3,8,2.3,1.3,3.5,2
Marvin Jones,DET,33,WR,6,4,10,5,50.0%,35,7.0,0,2,30.0,16,3.5,0.8,5.8,1
Keith Kirkwood,NOR,29,WR,13,4,9,5,55.6%,37,7.4,1,3,44.4,13,4.1,0.4,2.8,0
Ty Montgomery,NWE,30,WR,13,0,12,5,41.7%,40,8.0,0,3,33.3,17,3.3,0.4,3.1,0
