Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
Davis Mills,HOU,25,QB,6,0,,18,39,46.2,173,2,5.1,0,0.0,12,36.6,19,4.4,5.5,9.6,28.8,76.1,48.3,2,13,4.9,3.90,4.88,,
Brett Rypien,LAR,27,QB,2,1,0-1-0,18,38,47.4,172,0,0.0,1,2.6,8,25.0,34,4.5,3.3,9.6,86.0,49.5,20.1,2,18,5.0,3.85,2.73,,
Cooper Rush,DAL,30,QB,7,0,,18,24,75.0,144,0,0.0,1,4.2,7,52.0,29,6.0,4.1,8.0,20.6,72.2,51.8,1,8,4.0,5.44,3.64,,
Carson Wentz,LAR,31,QB,2,1,1-0-0,17,24,70.8,163,2,8.3,1,4.2,11,57.7,29,6.8,6.6,9.6,81.5,99.8,90.4,2,14,7.7,5.73,5.54,1,1
Marcus Mariota,PHI,30,QB,3,0,,15,23,65.2,164,1,4.3,1,4.3,10,53.8,22,7.1,6.0,10.9,54.7,82.5,59.7,3,11,11.5,5.88,4.92,,
Jaren Hall,MIN,25,QB,3,2,1-1-0,13,20,65.0,168,0,0.0,1,5.0,7,37.5,47,8.4,6.2,12.9,56.0,70.4,5.1,4,28,16.7,5.83,3.96,,
Jeff Driskel,CLE,30,QB,1,1,0-1-0,13,26,50.0,166,2,7.7,2,7.7,8,34.5,31,6.4,4.5,12.8,166.0,63.9,4.1,3,26,10.3,4.83,3.10,,
Clayton Tune,ARI,24,QB,7,1,0-1-0,12,21,57.1,62,0,0.0,2,9.5,3,17.9,14,3.0,-1.3,5.2,8.9,22.6,1.2,7,41,25.0,0.75,-2.46,,
Taysom Hill,NOR,33,QB,16,7,,6,11,54.5,83,1,9.1,0,0.0,4,46.2,44,7.5,9.4,13.8,5.2,109.3,49.9,2,4,15.4,6.08,7.62,0,1
Mike White,MIA,28,QB,6,0,,5,6,83.3,74,1,16.7,1,16.7,1,16.7,68,12.3,8.2,14.8,12.3,118.1,0.1,0,0,0.0,12.33,8.17,,
Malik Willis,TEN,24,QB,3,0,,4,5,80.0,74,0,0.0,0,0.0,1,44.4,48,14.8,14.8,18.5,24.7,118.7,3.4,4,30,44.4,4.89,4.89,,
A.J. McCarron,CIN,33,QB,2,0,,4,5,80.0,19,0,0.0,0,0.0,0,0.0,10,3.8,3.8,4.8,9.5,82.5,1.6,1,9,16.7,1.67,1.67,,
Logan Woodside,ATL,28,QB,1,0,,3,4,75.0,27,0,0.0,1,25.0,3,60.0,12,6.8,-4.5,9.0,27.0,53.1,4.4,1,7,20.0,4.00,-5.00,,
Derrick Henry*,TEN,29,RB,17,17,,2,3,66.7,14,2,66.7,0,0.0,2,66.7,12,4.7,18.0,7.0,0.8,116.7,94.5,0,0,0.0,4.67,18.00,,
Jakobi Meyers,LVR,27,WR,16,16,,2,3,66.7,12,1,33.3,0,0.0,1,66.7,9,4.0,10.7,6.0,0.8,113.9,39.5,0,0,0.0,4.00,10.67,,
Keenan Allen*,LAC,31,WR,13,13,,1,2,50.0,49,1,50.0,0,0.0,1,50.0,49,24.5,34.5,49.0,3.8,135.4,98.8,0,0,0.0,24.50,34.50,,
Sean Clifford,GNB,25,QB,2,0,,1,1,100.0,37,0,0.0,0,0.0,1,100.0,37,37.0,37.0,37.0,18.5,118.7,100.0,0,0,0.0,37.00,37.00,,
Jalen Reeves-Maybin*,DET,28,LB,17,0,,1,1,100.0,31,0,0.0,0,0.0,1,100.0,31,31.0,31.0,31.0,1.8,118.7,,0,0,0.0,31.00,31.00,,
Braden Mann,PHI,26,P,15,0,,1,1,100.0,28,0,0.0,0,0.0,1,100.0,28,28.0,28.0,28.0,1.9,118.7,,0,0,0.0,28.00,28.00,,
