Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
Derrick Henry*,TEN,29,RB,17,17,280,1167,12,63,46.1,69,4.2,68.6,0
Christian McCaffrey*+,SFO,27,RB,16,16,272,1459,14,83,54.0,72,5.4,91.2,3
Rachaad White,TAM,24,RB,17,17,272,990,6,46,40.8,38,3.6,58.2,3
Travis Etienne,JAX,24,RB,17,17,267,1008,11,53,43.1,62,3.8,59.3,0
Joe Mixon,CIN,27,RB,17,17,257,1034,9,59,49.4,44,4.0,60.8,0
Najee Harris,PIT,25,RB,17,17,255,1035,8,51,48.2,25,4.1,60.9,2
Tony Pollard,DAL,26,RB,17,17,252,1005,6,56,50.0,31,4.0,59.1,3
Saquon Barkley,NYG,26,RB,14,14,247,962,6,51,40.1,36,3.9,68.7,2
Chuba Hubbard,CAR,24,RB,17,12,238,902,5,59,47.5,22,3.8,53.1,1
James Cook*,BUF,24,RB,17,13,237,1122,2,53,55.7,42,4.7,66.0,4
Josh Jacobs,LVR,25,RB,13,13,233,805,6,34,45.9,63,3.5,61.9,3
D'Andre Swift*,PHI,24,RB,16,15,229,1049,5,50,54.1,43,4.6,65.6,3
Kyren Williams*,LAR,23,RB,12,11,228,1144,12,62,59.6,56,5.0,95.3,3
Breece Hall,NYJ,22,RB,17,16,223,994,5,40,39.5,83,4.5,58.5,2
David Montgomery,DET,26,RB,14,14,219,1015,13,59,54.8,75,4.6,72.5,2
Kenneth Walker III,SEA,23,RB,15,15,219,905,8,46,46.6,45,4.1,60.3,1
Javonte Williams,DEN,23,RB,16,13,217,774,3,41,40.6,21,3.6,48.4,1
Devin Singletary,HOU,26,RB,17,10,216,898,4,41,47.7,24,4.2,52.8,1
Bijan Robinson,ATL,21,RB,17,16,214,976,4,50,43.5,38,4.6,57.4,4
Raheem Mostert*,MIA,31,RB,15,15,209,1012,18,59,55.0,49,4.8,67.5,4
James Conner,ARI,28,RB,13,13,208,1040,7,57,49.5,44,5.0,80.0,0
Isiah Pacheco,KAN,24,RB,14,13,205,935,7,53,50.7,48,4.6,66.8,1
Jerome Ford,CLE,24,RB,17,12,204,813,4,33,39.7,69,4.0,47.8,1
Gus Edwards,BAL,28,RB,17,9,198,810,13,49,54.0,42,4.1,47.6,3
Tyler Allgeier,ATL,23,RB,17,3,186,683,4,39,48.4,31,3.7,40.2,0
Ezekiel Elliott,NWE,28,RB,17,5,184,642,3,33,45.1,17,3.5,37.8,2
Zack Moss,IND,26,RB,14,8,183,794,5,43,49.2,56,4.3,56.7,0
Jahmyr Gibbs,DET,21,RB,15,3,182,945,10,42,46.7,36,5.2,63.0,2
Alvin Kamara,NOR,28,RB,13,12,180,694,5,42,48.3,17,3.9,53.4,0
Alexander Mattison,MIN,25,RB,16,13,180,700,0,28,45.0,21,3.9,43.8,3
Austin Ekeler,LAC,28,RB,14,14,179,628,5,34,47.5,55,3.5,44.9,5
AJ Dillon,GNB,25,RB,15,6,178,613,2,32,50.0,40,3.4,40.9,0
Brian Robinson Jr.,WAS,24,RB,15,15,178,733,5,47,47.8,29,4.1,48.9,4
Jonathan Taylor,IND,24,RB,10,7,169,741,7,42,49.1,49,4.4,74.1,1
Jalen Hurts,PHI,25,QB,17,17,157,605,15,68,61.1,24,3.9,35.6,9
Rhamondre Stevenson,NWE,25,RB,12,12,156,619,4,36,49.4,64,4.0,51.6,1
Jaylen Warren,PIT,25,RB,17,0,149,784,4,36,49.7,74,5.3,46.1,4
Lamar Jackson*+,BAL,26,QB,16,16,148,821,5,48,54.1,30,5.5,51.3,11
Dameon Pierce,HOU,23,RB,14,7,145,416,2,14,37.9,22,2.9,29.7,0
Aaron Jones,GNB,29,RB,11,11,142,656,2,34,62.0,39,4.6,59.6,2
Kareem Hunt,CLE,28,RB,15,2,135,411,9,38,45.9,16,3.0,27.4,0
Khalil Herbert,CHI,25,RB,12,9,132,611,2,25,49.2,38,4.6,50.9,1
Miles Sanders,CAR,26,RB,16,5,129,432,1,24,40.3,48,3.3,27.0,2
Justin Fields,CHI,24,QB,13,13,124,657,4,43,52.4,39,5.3,50.5,10
Josh Allen,BUF,27,QB,17,17,111,524,15,57,65.8,23,4.7,30.8,7
D'Onta Foreman,CHI,27,RB,9,8,109,425,4,24,53.2,22,3.9,47.2,1
Zach Charbonnet,SEA,22,RB,16,2,108,462,1,32,49.1,23,4.3,28.9,0
Joshua Kelley,LAC,26,RB,17,3,107,405,2,21,43.0,49,3.8,23.8,1
Jamaal Williams,NOR,28,RB,13,4,106,306,1,19,39.6,17,2.9,23.5,1
Zamir White,LVR,24,RB,17,4,104,451,1,19,51.0,43,4.3,26.5,1
De'Von Achane,MIA,22,RB,11,4,103,800,8,30,54.4,76,7.8,72.7,1
Ty Chandler,MIN,25,RB,17,4,102,461,3,20,45.1,31,4.5,27.1,0
Tyjae Spears,TEN,22,RB,17,1,100,453,2,24,44.0,23,4.5,26.6,1
Rico Dowdle,DAL,25,RB,16,0,89,361,2,17,47.2,21,4.1,22.6,0
Kenneth Gainwell,PHI,24,RB,16,2,84,364,2,19,39.3,32,4.3,22.8,3
Justice Hill,BAL,26,RB,16,5,84,387,3,19,48.8,41,4.6,24.2,1
Taysom Hill,NOR,33,QB,16,7,81,401,4,26,64.2,27,5.0,25.1,1
Roschon Johnson,CHI,22,RB,15,0,81,352,2,16,43.2,29,4.3,23.5,1
Russell Wilson,DEN,35,QB,15,15,80,341,3,38,55.0,21,4.3,22.7,10
Latavius Murray,BUF,33,RB,16,4,79,300,4,27,57.0,29,3.8,18.8,1
Joshua Dobbs,2TM,28,,13,12,77,421,6,31,49.4,44,5.5,32.4,14
Royce Freeman,LAR,27,RB,14,0,77,319,2,17,51.9,23,4.1,22.8,0
Jaleel McLaughlin,DEN,23,RB,17,3,76,410,1,16,53.9,38,5.4,24.1,0
Patrick Mahomes*,KAN,28,QB,16,16,75,389,0,27,50.7,25,5.2,24.3,5
Elijah Mitchell,SFO,25,RB,11,1,75,281,2,14,48.0,18,3.7,25.5,0
Clyde Edwards-Helaire,KAN,24,RB,15,3,70,223,1,12,40.0,20,3.2,14.9,0
Trevor Lawrence,JAX,24,QB,16,16,70,339,4,23,47.1,26,4.8,21.2,12
Dalvin Cook,NYJ,28,RB,15,1,67,214,0,10,38.8,14,3.2,14.3,2
Antonio Gibson,WAS,25,RB,16,2,65,265,1,13,43.1,16,4.1,16.6,4
Pierre Strong,CLE,25,RB,17,1,63,291,1,10,50.8,40,4.6,17.1,1
Baker Mayfield,TAM,28,QB,17,17,62,163,1,16,35.5,31,2.6,9.6,8
Cam Akers,2TM,24,,7,1,60,167,2,12,35.0,19,2.8,23.9,0
Emari Demercado,ARI,24,RB,14,2,58,284,2,12,43.1,49,4.9,20.3,0
Matt Breida,NYG,28,RB,17,4,55,151,1,7,34.5,9,2.7,8.9,1
Dak Prescott*,DAL,30,QB,17,17,55,242,2,21,52.7,22,4.4,14.2,4
Samaje Perine,DEN,28,RB,17,1,53,238,1,14,50.9,24,4.5,14.0,3
Desmond Ridder,ATL,24,QB,15,13,53,193,5,18,43.4,23,3.6,12.9,12
Justin Herbert,LAC,25,QB,13,13,52,228,3,16,40.4,35,4.4,17.5,4
Chris Rodriguez,WAS,23,RB,13,0,51,247,2,14,47.1,16,4.8,19.0,1
Tank Bigsby,JAX,22,RB,17,0,50,132,2,12,42.0,12,2.6,7.8,2
Jordan Love,GNB,25,QB,17,17,50,247,4,16,44.0,37,4.9,14.5,9
Cordarrelle Patterson,ATL,32,RB,14,0,50,181,0,9,46.0,18,3.6,12.9,1
Chase Edmonds,TAM,27,RB,13,0,49,176,0,8,46.9,21,3.6,13.5,0
Sam Howell,WAS,23,QB,17,17,48,263,5,19,50.0,24,5.5,15.5,4
Keaton Mitchell,BAL,21,RB,8,2,47,396,2,19,68.1,60,8.4,49.5,0
Darrell Henderson,LAR,26,RB,4,4,46,112,2,5,37.0,16,2.4,28.0,0
Chase Brown,CIN,23,RB,12,0,44,179,0,6,34.1,31,4.1,14.9,1
Kyler Murray,ARI,26,QB,8,8,44,244,3,15,59.1,33,5.5,30.5,7
Kenny Pickett,PIT,25,QB,12,12,42,54,1,12,38.1,11,1.3,4.5,2
D'Ernest Johnson,JAX,27,RB,17,0,41,108,0,5,39.0,19,2.6,6.4,0
Kendre Miller,NOR,21,RB,8,0,41,156,1,10,39.0,18,3.8,19.5,0
Craig Reynolds,DET,27,RB,17,0,41,179,1,11,43.9,19,4.4,10.5,2
Jeff Wilson,MIA,28,RB,10,0,41,188,0,8,51.2,15,4.6,18.8,0
Daniel Jones,NYG,26,QB,6,6,40,206,1,15,52.5,17,5.2,34.3,4
Jordan Mason,SFO,24,RB,17,0,40,206,3,13,55.0,26,5.2,12.1,0
Brock Purdy*,SFO,24,QB,16,16,39,144,2,15,53.8,17,3.7,9.0,6
C.J. Stroud,HOU,22,QB,15,15,39,167,3,17,59.0,16,4.3,11.1,8
Bryce Young,CAR,22,QB,16,16,39,253,0,18,64.1,26,6.5,15.8,11
Tyrod Taylor,NYG,34,QB,11,5,38,197,0,10,47.4,31,5.2,17.9,4
Deebo Samuel,SFO,27,WR,15,15,37,225,5,13,67.6,23,6.1,15.0,1
Geno Smith,SEA,33,QB,15,15,37,155,1,10,40.5,25,4.2,10.3,5
Isaiah Spiller,LAC,22,RB,9,0,37,96,0,1,32.4,8,2.6,10.7,0
Tommy DeVito,NYG,25,QB,9,6,36,195,1,7,44.4,26,5.4,21.7,2
Zach Wilson,NYJ,24,QB,12,11,36,211,0,7,41.7,20,5.9,17.6,11
Keaontay Ingram,ARI,24,RB,8,1,35,74,0,4,20.0,14,2.1,9.3,0
Trey Sermon,IND,24,RB,14,0,35,160,0,7,45.7,27,4.6,11.4,0
Tua Tagovailoa*,MIA,25,QB,17,17,35,74,0,5,20.0,9,2.1,4.4,13
Gardner Minshew II,IND,27,QB,17,13,34,100,3,7,29.4,23,2.9,5.9,8
Derek Carr,NOR,32,QB,17,17,32,40,0,4,25.0,10,1.3,2.4,7
Darrynton Evans,2TM,25,,7,0,32,121,1,10,40.6,13,3.8,17.3,0
Jared Goff,DET,29,QB,17,17,32,21,2,5,21.9,11,0.7,1.2,6
Ronnie Rivers,LAR,24,RB,9,1,32,129,0,4,50.0,10,4.0,14.3,0
Patrick Taylor,GNB,25,RB,11,0,32,141,0,7,46.9,24,4.4,12.8,0
Joe Burrow,CIN,27,QB,10,10,31,88,0,9,38.7,20,2.8,8.8,2
Michael Carter,2TM,24,,15,0,30,187,0,9,40.0,21,6.2,12.5,0
Ty Johnson,BUF,26,RB,10,0,30,132,0,8,63.3,13,4.4,13.2,1
Nick Chubb,CLE,28,RB,2,2,28,170,0,8,57.1,20,6.1,85.0,0
Rondale Moore,ARI,23,WR,17,8,28,178,1,5,46.4,45,6.4,10.5,1
Jake Browning,CIN,27,QB,9,7,27,127,3,12,63.0,21,4.7,14.1,3
Easton Stick,LAC,28,QB,5,4,27,144,1,11,63.0,21,5.3,28.8,5
Melvin Gordon,BAL,30,RB,4,0,26,81,1,4,30.8,22,3.1,20.3,1
Mac Jones,NWE,25,QB,11,11,26,96,0,11,57.7,18,3.7,8.7,3
Tony Jones,2TM,26,,7,1,26,95,2,7,46.2,19,3.7,13.6,0
Deshaun Watson,CLE,28,QB,6,6,26,142,1,10,61.5,16,5.5,23.7,5
Will Levis,TEN,24,QB,9,9,25,57,1,7,36.0,11,2.3,6.3,7
Anthony Richardson,IND,21,QB,4,4,25,136,4,8,64.0,23,5.4,34.0,3
Ke'Shawn Vaughn,TAM,26,RB,6,0,24,42,0,0,20.8,9,1.8,7.0,0
Tyson Bagent,CHI,23,QB,5,4,23,109,2,11,56.5,20,4.7,21.8,3
Damien Harris,BUF,26,RB,6,0,23,94,1,9,65.2,11,4.1,15.7,0
Deuce Vaughn,DAL,22,RB,7,0,23,40,0,1,8.7,13,1.7,5.7,0
Israel Abanikanda,NYJ,21,RB,6,0,22,70,0,3,36.4,12,3.2,11.7,1
Salvon Ahmed,MIA,25,RB,8,0,22,61,1,3,36.4,10,2.8,7.6,0
La'Mical Perine,KAN,25,RB,3,1,22,77,0,3,40.9,10,3.5,25.7,0
Sam Darnold,SFO,26,QB,10,1,21,15,1,3,23.8,9,0.7,1.5,3
Jerick McKinnon,KAN,31,RB,12,0,21,60,1,7,47.6,10,2.9,5.0,0
Matthew Stafford*,LAR,35,QB,15,15,21,65,0,4,33.3,9,3.1,4.3,0
Jimmy Garoppolo,LVR,32,QB,7,6,20,39,0,6,30.0,9,2.0,5.6,1
Boston Scott,PHI,28,RB,15,0,20,86,0,5,50.0,18,4.3,5.7,1
Chris Brooks,MIA,23,RB,9,0,19,106,0,2,31.6,52,5.6,11.8,0
Eric Gray,NYG,24,RB,13,0,17,48,0,2,35.3,12,2.8,3.7,3
Aidan O'Connell,LVR,25,QB,11,10,17,11,1,7,41.2,3,0.6,1.0,4
Ryan Tannehill,TEN,35,QB,10,8,17,74,1,4,35.3,23,4.4,7.4,4
Carson Wentz,LAR,31,QB,2,1,17,56,1,4,58.8,12,3.3,28.0,0
Bailey Zappe,NWE,24,QB,10,6,17,83,1,6,47.1,18,4.9,8.3,2
Kevin Harris,NWE,23,RB,4,0,16,65,1,2,50.0,18,4.1,16.3,0
Mitchell Trubisky,PIT,29,QB,5,2,16,54,2,6,50.0,15,3.4,10.8,1
Ameer Abdullah,LVR,30,RB,17,0,15,89,0,6,60.0,12,5.9,5.2,0
Taylor Heinicke,ATL,30,QB,5,4,15,124,1,5,53.3,24,8.3,24.8,1
