id,name,position,team,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,total_yards,games,offense_snaps,teams_offense_snaps,ypa,ypc,ypr,touches,count,comp_percentage,pass_td_percentage,int_percentage,rush_td_percentage,rec_td_percentage,total_tds,td_percentage,pass_ypg,rush_ypg,rec_ypg,ppg,ppr_ppg,ypg,pr,rookie_season,round,overall,ht,wt,forty,vertical,years_played
710,Isaiah Burse,WR,DEN,2014,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0.037037037,0.08163265,0,0,0,1,4,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
710,Isaiah Burse,WR,LAC,2016,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,64,0,0,0,0.1048906,0.24757057,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
711,Isaiah Coulter,WR,CHI,2021,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0.027027028,0.0652819,0,0,0,1,14,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
712,Isaiah Crowell,RB,CLE,2014,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,148,607,8,3,2,34,0,9,14,87,0,0,0,33,68,4,0,0.44532004,0.11706494,113.4,122.4,694,15,382,992,0,4.1,9.67,157,1,0,0,0,0.054,0,8,0.051,0,40.46666667,5.8,7.560000102,8.160000102,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
712,Isaiah Crowell,RB,CLE,2015,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,185,706,4,0,0,34,0,19,22,182,1,0,0,-49,227,6,0,0.60046434,-0.183847,118.8,137.8,888,16,474,1102,0,3.82,9.58,204,1,0,0,0,0.022,0.053,5,0.025,0,44.125,11.375,7.425000191,8.612500191,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
712,Isaiah Crowell,RB,CLE,2016,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,198,952,7,2,2,45,0,40,53,319,0,0,0,1,325,14,0,1.5616896,0.00938791,165.1,205.1,1271,16,568,1029,0,4.81,7.98,238,1,0,0,0,0.035,0,7,0.029,0,59.5,19.9375,10.31875038,12.81875038,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
712,Isaiah Crowell,RB,CLE,2017,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,206,853,2,1,1,38,1,28,42,182,0,0,0,-9,210,9,0,1.1803161,-0.03854882,115.5,143.5,1035,16,536,1070,0,4.14,6.5,234,1,0,0,0,0.01,0,2,0.009,0,53.3125,11.375,7.21875,8.96875,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
712,Isaiah Crowell,RB,NYJ,2018,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,143,685,6,0,0,26,0,21,28,152,0,0,0,-9,173,7,0,0.84845436,-0.027371071,119.7,140.7,837,13,332,812,0,4.79,7.24,164,1,0,0,0,0.042,0,6,0.037,0,52.69230769,11.69230769,9.207692073,10.82307669,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
713,Isaiah Ford,WR,MIA,2018,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0.041666668,0.024896266,0,0,0,1,13,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.87,2017,7,237,1-Jun,194,4.61,35.5,2
713,Isaiah Ford,WR,MIA,2019,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,23,35,244,0,0,0,295,86,16,0,0.9051489,0.8187561,25.5,48.5,255,8,224,564,0,11,10.61,24,1,0,0,0,0,0,0,0,0,1.375,30.5,3.1875,6.0625,0,33.87,2017,7,237,1-Jun,194,4.61,35.5,3
713,Isaiah Ford,WR,MIA,2020,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,44,276,0,0,0,405,68,18,0,1.1897726,1.4293224,27.6,55.6,276,9,356,603,0,0,9.86,28,1,0,0,0,0,0,0,0,0,0,30.66666667,3.066666709,6.177777608,0,33.87,2017,7,237,1-Jun,194,4.61,35.5,4
713,Isaiah Ford,WR,MIA,2021,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,161,2,0,0,138,60,7,0,0.49926502,0.58175987,28.1,40.1,161,10,112,688,0,0,13.42,12,1,0,0,0,0,0.167,2,0.167,0,0,16.1,2.810000038,4.009999847,0,33.87,2017,7,237,1-Jun,194,4.61,35.5,5
714,Isaiah Hodgins,WR,BUF,2022,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,41,0,0,0,44,19,2,0,0.16666667,0.097345136,4.1,8.1,41,1,13,57,0,0,10.25,4,1,0,0,0,0,0,0,0,0,0,41,4.099999905,8.100000381,0,33.87,2020,6,207,4-Jun,210,4.61,36.5,3
714,Isaiah Hodgins,WR,NYG,2022,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,42,351,4,1,1,391,69,22,1,1.3757714,2.1862857,59.1,92.1,351,8,417,534,0,0,10.64,33,1,0,0,0,0,0.121,4,0.121,0,0,43.875,7.387499809,11.51249981,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
715,Isaiah Likely,TE,BAL,2022,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,60,373,3,0,0,405,151,18,0,2.075676,1.6992922,55.3,91.3,373,14,372,895,0,0,10.36,36,1,0,0,0,0,0.083,3,0.083,0,0,26.64285714,3.949999946,6.521428789,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
716,Isaiah McKenzie,WR,BUF,2018,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,10,66,2,0,0,4,0,18,30,179,0,0,0,246,76,10,0,1.0621371,0.64903605,36.5,54.5,245,6,209,406,0,6.6,9.94,28,1,0,0,0,0.2,0,2,0.071,0,11,29.83333333,6.083333333,9.083333333,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
716,Isaiah McKenzie,WR,BUF,2019,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,0,0,0,4,0,27,39,254,1,0,0,169,206,12,0,1.3334366,0.5749122,36.3,63.3,303,12,416,797,0,6.12,9.41,35,1,0,0,0,0,0.037,1,0.029,0,4.083333333,21.16666667,3.024999936,5.274999936,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
